未来喫茶 — イベラン診断用ボーダーデータ（イベント名 × ボーダー）
========================================================================
出典: 参考データ/【完全版】プロセカボーダーランキング のコピー
生成元: js/border-rankings-data.js


========================================================================
■ TOP10（188件）
========================================================================

 No.  イベント名                                               ボーダーPt  表示              バナー     ユニット      種別      
--------------------------------------------------------------------------------------------------------------
   1  Overcome one's limits                          320,001,112  約3億2000万P       彰人      ビビバス      マラソン    
   2  残照のInside Direction                            301,534,624  約3億153万P        類       ワンダショ     マラソン    
   3  Knowing the Unseen                             292,127,430  約2億9212万P       絵名      ニーゴ       マラソン    
   4  GO ALL OUT                                     285,052,100  約2億8505万P       冬弥      ビビバス      マラソン    
   5  Rekindle the flame                             282,828,282  約2億8282万P       彰人      ビビバス      マラソン    
   6  Colors of Pure Sense                           280,000,430  約2億8000万P       絵名      ニーゴ       マラソン    
   7  粉砕せよ！アンヴァレンタインの復讐                              270,831,624  約2億7083万P       司       混合        マラソン    
   8  そしていま、リボンを結んで                                  270,210,827  約2億7021万P       瑞希      ニーゴ       マラソン    
   9  傷だらけの手で、私達は                                    265,000,430  約2億6500万P       絵名      ニーゴ       マラソン    
  10  天の果てのフェニックスへ                                   264,517,603  約2億6451万P       司       ワンダショ     マラソン    
  11  荊棘の道は何処へ                                       258,270,000  約2億5827万P       瑞希      ニーゴ       マラソン    
  12  BURN MY SOUL                                   255,201,112  約2億5520万P       彰人      ビビバス      マラソン    
  13  ボク達の生存逃走                                       250,000,827  約2億5000万P       瑞希      ニーゴ       チアフル    
  14  Amid the Wavering Light                        250,000,827  約2億5000万P       瑞希      ニーゴ       マラソン    
  15  Open up new horizons！                          242,800,319  約2億4280万P       愛莉      モモジャン     マラソン    
  16  Deeper and deeper                              240,624,720  約2億4062万P       類       ワンダショ     マラソン    
  17  start rolling! stars' crossing                 240,410,414  約2億4041万P       みのり     モモジャン     マラソン    
  18  Unfading wishing                               240,001,112  約2億4000万P       彰人      混合        マラソン    
  19  導く勇気、優しさを胸に                                    233,102,726  約2億3310万P       穂波      レオニ       マラソン    
  20  この物語は希望をのせて                                    230,101,010  約2億3010万P       遥       モモジャン     マラソン    
  21  新年言祝ぐ、祈りの舞                                     229,998,466  約2億2999万P       みのり     混合        マラソン    
  22  悪夢の庭を歌い明かして                                    227,037,430  約2億2703万P       絵名      混合        マラソン    
  23  あの日、奏でた音色を                                     225,000,210  約2億2500万P       奏       ニーゴ       マラソン    
  24  夢の途中、輝く星たちへ                                    224,712,867  約2億2471万P       えむ      ワンダショ     マラソン    
  25  仮面の私にさよならを                                     221,783,139  約2億2178万P       まふゆ     ニーゴ       マラソン    
  26  Deep Dark For Light                            221,700,517  約2億2170万P       司       ワンダショ     マラソン    
  27  カーテンコールに惜別を                                    221,210,624  約2億2121万P       類       ワンダショ     マラソン    
  28  イミシブル・ディスコード                                   221,000,000  約2億2100万P       奏       ニーゴ       マラソン    
  29  Find the dream view                            220,108,523  約2億2010万P       志歩      レオニ       マラソン    
  30  THE POWER OF UNITY                             220,001,112  約2億2000万P       彰人      ビビバス      マラソン    
  31  君と繋ぐHeart Beat                                 220,000,811  約2億2000万P       一歌      レオニ       マラソン    
  32  The Power Of Regret                            220,000,720  約2億2000万P       寧々      ワンダショ     マラソン    
  33  覚めない幻想をノックして                                   220,000,210  約2億2000万P       奏       ニーゴ       マラソン    
  34  一期一会な百鬼夜行!?                                    217,000,624  約2億1700万P       類       混合        チアフル    
  35  君が主役の物語を                                       215,170,517  約2億1517万P       司       ワンダショ     マラソン    
  36  Time to take off！                              212,121,525  約2億1212万P       冬弥      ビビバス      マラソン    
  37  The first concerto                             211,999,490  約2億1199万P       冬弥      ビビバス      マラソン    
  38  Path made by faith                             210,270,108  約2億1027万P       志歩      レオニ       マラソン    
  39  Happy Enjoy Music！                             210,112,516  約2億1011万P       咲希      レオニ       マラソン    
  40  そして、針は動き出す                                     210,000,127  約2億1000万P       まふゆ     ニーゴ       マラソン    
  41  Unreliable Notes                               210,000,000  約2億1000万P       奏       ニーゴ       マラソン    
  42  逆光のレンズフレア                                      203,624,624  約2億362万P        類       ワンダショ     マラソン    
  43  You are my HERO!!                              202,222,517  約2億222万P        司       混合        マラソン    
  44  灯を手繰りよせて                                       201,270,831  約2億127万P        まふゆ     ニーゴ       マラソン    
  45  Find A Way Out                                 200,001,112  約2億P            彰人      ビビバス      マラソン    
  46  CHANGE！えむは王女さま！？                               200,000,909  約2億P            えむ      ワンダショ     マラソン    
  47  Show 'em what's up！                            200,000,726  約2億P            杏       ビビバス      マラソン    
  48  願いは、いつか朝をこえて                                   200,000,430  約2億P            絵名      ニーゴ       マラソン    
  49  ともに、トゥルールートを目指して                               200,000,000  約2億P            まふゆ     混合        マラソン    
  50  On Your Feet                                   196,823,654  約1億9682万P       こはね     ビビバス      マラソン    
  51  変わらぬあたたかさの隣で                                   195,992,036  約1億9599万P       瑞希      混合        チアフル    
  52  Rise and Strive                                194,251,005  約1億9425万P       遥       モモジャン     マラソン    
  53  カナリアは窮境に歌う                                     194,000,720  約1億9400万P       寧々      ワンダショ     マラソン    
  54  セカイに響け!Your Song                               193,983,188  約1億9398万P       ダショミク   混合        チアフル    
  55  Stay solid,No fold                             193,230,302  約1億9323万P       こはね     ビビバス      マラソン    
  56  つなぐ、星の歌                                        190,000,811  約1億9000万P       一歌      レオニ       マラソン    
  57  Special present for YOU！                       189,302,624  約1億8930万P       類       混合        マラソン    
  58  Our Golden Days                                188,632,117  約1億8863万P       杏       混合        マラソン    
  59  STEP by STEP!                                  188,517,414  約1億8851万P       みのり     モモジャン     マラソン    
  60  交響する街の片隅で                                      187,260,108  約1億8726万P       志歩      混合        チアフル    
  61  超克のプロタゴニスタ                                     187,200,000  約1億8720万P       寧々      ワンダショ     マラソン    
  62  ほどけぬ明日に手を伸ばして                                  186,000,827  約1億8600万P       瑞希      ニーゴ       マラソン    
  63  Get over it.                                   185,090,509  約1億8509万P       咲希      レオニ       マラソン    
  64  Cheer with my Heart！                           183,410,319  約1億8341万P       愛莉      モモジャン     マラソン    
  65  お縄を頂戴!?天馬捕物帳                                   182,270,517  約1億8227万P       司       ワンダショ     マラソン    
  66  Whip the wimp girl!!                           181,700,726  約1億8170万P       杏       ビビバス      マラソン    
  67  仰ぐ夜空に、星は紛れて                                    181,102,759  約1億8110万P       咲希      レオニ       マラソン    
  68  No seek No find                                180,517,509  約1億8051万P       咲希      レオニ       マラソン    
  69  想いをのせて！Dream Stage                             180,108,720  約1億8010万P       寧々      混合        マラソン    
  70  Never Give Up Cooking!                         180,000,525  約1億8000万P       冬弥      混合        チアフル    
  71  絶体絶命!?アイランドパニック!                               180,000,000  約1億8000万P       寧々      ワンダショ     マラソン    
  72  Rise as ONE！                                   178,601,112  約1億7860万P       彰人      混合        チアフル    
  73  この祭に 夕闇色も                                      178,354,127  約1億7835万P       まふゆ     混合        チアフル    
  74  あたたかな思い出を辿って                                   178,001,027  約1億7800万P       穂波      レオニ       マラソン    
  75  新春!獅子舞ロボのお正月ショー!                               177,777,517  約1億7777万P       司       混合        チアフル    
  76  Kick it up a notch                             173,726,302  約1億7372万P       こはね     ビビバス      マラソン    
  77  交わる色はあの日のままに                                   173,191,206  約1億7319万P       雫       モモジャン     マラソン    
  78  Walk on and on                                 173,141,112  約1億7314万P       冬弥      ビビバス      マラソン    
  79  ボクのあしあと キミのゆくさき                                172,600,827  約1億7260万P       瑞希      ニーゴ       チアフル    
  80  ハロー･グッド･デイ！                                    171,717,171  約1億7171万P       一歌      混合        チアフル    
  81  昔日のRead-aloud                                  171,151,027  約1億7115万P       穂波      混合        マラソン    
